iso3,country_name,year,emp_ratio
ISL,Iceland,2019,72.926
ISR,Israel,2015,62.157
ISR,Israel,2016,62.535
ISR,Israel,2017,62.78
ISR,Israel,2018,62.869
ISR,Israel,2019,62.571
ITA,Italy,2015,42.837
ITA,Italy,2016,43.418
ITA,Italy,2017,43.952
ITA,Italy,2018,44.338
ITA,Italy,2019,44.651
JPN,Japan,2015,57.485
JPN,Japan,2016,58.107
JPN,Japan,2017,58.738
JPN,Japan,2018,59.93
JPN,Japan,2019,60.55
KOR,"Korea, Rep.",2015,60.361
KOR,"Korea, Rep.",2016,60.34
KOR,"Korea, Rep.",2017,60.612
KOR,"Korea, Rep.",2018,60.357
KOR,"Korea, Rep.",2019,60.635
LTU,Lithuania,2015,53.755
LTU,Lithuania,2016,55.563
LTU,Lithuania,2017,56.325
LTU,Lithuania,2018,57.761
LTU,Lithuania,2019,58.187
LUX,Luxembourg,2015,55.801
LUX,Luxembourg,2016,55.26
LUX,Luxembourg,2017,55.586
LUX,Luxembourg,2018,56.053
LUX,Luxembourg,2019,56.741
LVA,Latvia,2015,54.108
LVA,Latvia,2016,54.528
LVA,Latvia,2017,55.489
LVA,Latvia,2018,56.792
LVA,Latvia,2019,57.231
MEX,Mexico,2015,57.941
MEX,Mexico,2016,58.099
MEX,Mexico,2017,58.15
MEX,Mexico,2018,58.45
MEX,Mexico,2019,58.995
NLD,Netherlands,2015,61.876
NLD,Netherlands,2016,62.264
NLD,Netherlands,2017,62.877
NLD,Netherlands,2018,63.77
NLD,Netherlands,2019,64.367
NOR,Norway,2015,62.956
NOR,Norway,2016,62.487
NOR,Norway,2017,62.07
NOR,Norway,2018,62.37
NOR,Norway,2019,62.733
NZL,New Zealand,2015,64.695
NZL,New Zealand,2016,65.966
NZL,New Zealand,2017,67.142
NZL,New Zealand,2018,67.45
NZL,New Zealand,2019,67.291
POL,Poland,2015,52.608
POL,Poland,2016,53.553
POL,Poland,2017,54.537
POL,Poland,2018,55.115
POL,Poland,2019,55.375
PRT,Portugal,2015,51.25
PRT,Portugal,2016,51.91
PRT,Portugal,2017,53.61
PRT,Portugal,2018,54.829
PRT,Portugal,2019,55.198
SVK,Slovak Republic,2015,52.773
SVK,Slovak Republic,2016,54.2
SVK,Slovak Republic,2017,55.017
SVK,Slovak Republic,2018,55.819
SVK,Slovak Republic,2019,56.125
SVN,Slovenia,2015,52.43
SVN,Slovenia,2016,52.296
SVN,Slovenia,2017,54.708
SVN,Slovenia,2018,55.935
SVN,Slovenia,2019,55.787
SWE,Sweden,2015,59.19
SWE,Sweden,2016,59.618
SWE,Sweden,2017,60.09
SWE,Sweden,2018,60.421
SWE,Sweden,2019,60.198
TUR,Turkiye,2015,46.014
TUR,Turkiye,2016,46.333
TUR,Turkiye,2017,47.063
TUR,Turkiye,2018,47.382
TUR,Turkiye,2019,45.681
USA,United States,2015,58.979
USA,United States,2016,59.391
USA,United States,2017,59.824
USA,United States,2018,60.153
USA,United States,2019,60.542
